sa2,DHB,Population,VaccRate,SocialDeprivation,DistanceToVacc,PropUnder30,TertiaryStudents
133000,Waitemata,3137,NA,907.5,390.345387004,0.3489736070381232,No
129200,Auckland,3449,NA,933,2283.80491348,0.36253041362530414,No
136100,Auckland,1583,NA,970.5,873.383217467,0.5014749262536873,Yes
129500,Waitemata,2519,NA,1037,1564.49376565,0.42628205128205127,No
130500,Waitemata,2405,NA,1045,1309.64185451,0.45514950166112955,No
129700,Auckland,2725,NA,909,1448.88608129,0.3440514469453376,No
129800,Auckland,2098,NA,924,57.6542909662,0.40336134453781514,No
129900,Auckland,3858,NA,944,2052.0567908499997,0.4045643153526971,No
130200,Auckland,1923,NA,930.5,626.24664649,0.2907488986784141,No
131000,Waitemata,2168,NA,1082,372.380638422,0.48375451263537905,No
130300,Auckland,2595,NA,915,1059.41363259,0.4050632911392405,No
131700,Auckland,3399,NA,1075,1257.1447874,0.45657015590200445,No
130700,Waitemata,3732,NA,914,1921.70584579,0.3805104408352668,No
130800,Waitemata,2185,NA,1052,895.01526282,0.43703703703703706,No
130900,Waitemata,3569,NA,1012,1338.89165259,0.42761692650334077,No
131100,Auckland,3120,NA,1042,1612.61681862,0.42513368983957217,No
131200,Auckland,2996,NA,933,1115.44748383,0.3620689655172414,No
131800,Auckland,4002,NA,942,570.371962532,0.30585683297180044,No
131400,Waitemata,1572,0.9293893129770993,900,1533.32176504,0.43137254901960786,No
131500,Waitemata,2918,0.8437285812200137,1005,827.684463084,0.4084158415841584,No
131600,Auckland,2664,0.911036036036036,940,548.17350362,0.4,No
131900,Auckland,2277,0.8840579710144928,977,1148.88423707,0.41935483870967744,No
132600,Waitemata,2715,0.8589318600368324,1032,1634.46140965,0.3821138211382114,No
132800,Auckland,3143,0.8994591154947502,938,617.258367318,0.40369393139841686,No
156200,Counties Manukau,3598,0.8846581434130072,1053,1321.10651448,0.435665914221219,No
132000,Auckland,3868,0.8728024819027922,999.5,299.547202047,0.3935091277890467,No
132100,Auckland,2681,0.8694516971279374,971.5,466.022189583,0.4114114114114114,No
132200,Auckland,3331,0.8991293905734014,995,1440.42302654,0.42990654205607476,No
157700,Counties Manukau,3812,0.727177334732424,1168,571.512663528,0.5447316103379721,No
132300,Waitemata,2754,0.8569353667392883,1046,1424.25939008,0.4117647058823529,No
132400,Auckland,2291,1,972,346.445241092,0.42356687898089174,Yes
